Name,Goals,Assists,ShotsOnGoal,PowerPlayGoals,ShortHandedGoals,EmptyNetGoals,PowerPlayAssists,ShortHandedAssists,PlusMinus,Blocks,Hits
Anaheim Ducks,219.4,333.1,2441.0,31.7,11.7,6.9,61.0,12.9,-115.0,1090.9,1833.4
Arizona Coyotes,228.7,363.6,2604.1,48.1,6.9,18.8,88.0,5.5,-10.6,1123.7,1616.4
Boston Bruins,266.3,449.3,2629.9,64.5,12.9,15.2,125.5,16.4,208.8,1041.6,1929.6
Buffalo Sabres,228.7,367.1,2360.1,43.4,6.9,11.0,83.3,4.1,-84.5,888.0,1541.3
Calgary Flames,246.3,389.4,2587.6,48.1,6.9,10.6,95.0,6.9,-107.9,1097.9,1496.7
Carolina Hurricanes,260.4,443.4,2629.9,51.6,11.7,16.4,104.4,14.1,85.6,917.3,1387.7
Chicago Blackhawks,248.7,410.6,2609.9,38.7,8.3,11.7,71.6,9.6,-28.2,1183.6,1802.9
Colorado Avalanche,278.0,468.0,2647.5,54.0,11.0,15.2,104.4,11.0,227.6,1208.2,1520.2
Columbus Blue Jackets,211.1,347.2,2660.4,36.4,4.1,10.6,68.0,4.1,-17.6,1242.2,1684.4
Dallas Stars,211.1,344.9,2478.5,49.3,6.9,10.6,95.0,9.6,15.2,1209.4,1804.1
Detroit Red Wings,170.1,290.9,2240.4,37.5,5.5,9.6,72.7,4.1,-580.6,1055.7,1835.7
Edmonton Oilers,263.9,446.9,2450.4,68.0,4.1,14.1,134.9,4.1,-126.7,1246.9,1862.7
Florida Panthers,271.0,454.0,2626.3,52.8,5.5,14.1,102.1,5.5,-12.9,1146.0,1455.7
Los Angeles Kings,208.8,353.1,2692.0,38.7,6.9,8.3,72.7,6.9,-150.1,993.5,1689.1
Minnesota Wild,258.1,428.1,2431.6,54.0,4.1,10.6,102.1,6.9,1.4,1135.5,1312.6
Montreal Canadiens,248.7,370.7,2811.7,37.5,9.6,9.6,66.9,5.5,-18.8,1073.3,2194.7
Nashville Predators,252.2,410.6,2681.5,45.7,8.3,11.0,88.0,5.5,45.7,1194.1,1357.2
New Jersey Devils,221.7,358.9,2414.0,46.9,9.6,11.0,90.3,10.6,-247.5,1176.5,1587.1
New York Islanders,225.2,375.4,2364.8,34.0,8.3,10.6,65.7,10.6,8.3,1352.5,2246.3
New York Rangers,274.5,470.4,2539.5,61.0,10.6,14.1,118.5,16.4,50.4,1216.4,1784.1
Ottawa Senators,224.0,354.2,2502.0,34.0,16.4,12.9,64.5,12.9,-143.1,1239.9,2292.0
Philadelphia Flyers,272.1,448.1,2540.7,55.1,11.0,11.0,106.7,4.1,137.2,988.8,1760.7
Pittsburgh Penguins,262.8,437.5,2577.1,49.3,8.3,14.1,96.2,5.5,89.1,1042.8,2195.9
San Jose Sharks,213.5,369.5,2439.8,38.7,9.6,11.0,76.2,9.6,-281.5,1074.5,1828.7
St. Louis Blues,263.9,441.0,2556.0,57.5,6.9,16.4,110.3,9.6,129.0,990.0,1724.3
Tampa Bay Lightning,287.4,485.6,2552.4,57.5,9.6,14.1,110.3,9.6,239.3,1052.2,1965.9
Toronto Maple Leafs,279.2,462.2,2690.9,54.0,6.9,17.6,104.4,4.1,66.9,1056.9,1380.6
Vancouver Canucks,267.4,461.0,2525.5,68.0,8.3,15.2,133.7,6.9,-37.5,1275.1,1595.3
Vegas Golden Knights,266.3,412.9,2865.6,49.3,10.6,11.0,90.3,11.7,115.0,1121.4,2229.9
Washington Capitals,281.5,448.1,2573.6,48.1,8.3,18.8,88.0,8.3,122.0,1108.5,1998.8
Winnipeg Jets,253.4,445.7,2606.4,48.1,9.6,18.8,95.0,10.6,36.4,1025.2,1818.2
